2025-08-09 20:03:47.052 PERF INFO  canvasRedraw | pixels=354450 children=4 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:03:47.054 PERF INFO  canvasRedraw | pixels=354450 children=4 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:03:50.823 PERF INFO  canvasRedraw | pixels=354450 children=4 zoom=1.0 durationMs=2 | project= span=canvasRedraw durationMs=2 node=
2025-08-09 20:03:50.826 PERF INFO  canvasRedraw | pixels=354450 children=4 zoom=1.0 durationMs=2 | project= span=canvasRedraw durationMs=2 node=
2025-08-09 20:03:55.581 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:03:55.582 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:03:55.584 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:04:02.276 PERF INFO  canvasRedraw | pixels=187650 children=0 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:04:02.277 PERF INFO  canvasRedraw | pixels=187650 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:03.610 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:03.612 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:04:06.344 PERF INFO  canvasRedraw | pixels=271050 children=3 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:04:06.345 PERF INFO  canvasRedraw | pixels=271050 children=3 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:06.346 PERF INFO  canvasRedraw | pixels=271050 children=3 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:08.038 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:08.041 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:08.041 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:08.041 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:13.179 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
